epoch,train_loss,validation_loss,validation_macro_f1,validation_accuracy,architecture,regime,seed
19,0.2831871985813017,0.2835433897126484,0.8610906511553194,0.8423645320197044,resnet50,focal_loss,2025
20,0.2917365571526525,0.244524915230098,0.8885939254943368,0.8735632183908046,resnet50,focal_loss,2025
21,0.2768551694749738,0.2651445725672742,0.8667205765879931,0.8472906403940886,resnet50,focal_loss,2025
22,0.2716674620007379,0.319523726141903,0.8479799330120379,0.8275862068965517,resnet50,focal_loss,2025
23,0.2819695224242386,0.27632665247557,0.8744386069335873,0.8555008210180624,resnet50,focal_loss,2025
24,0.2745915412483818,0.2737843604217022,0.8798365079392897,0.8620689655172413,resnet50,focal_loss,2025
25,0.2665496177644009,0.2609200528494047,0.8846684156400377,0.8669950738916257,resnet50,focal_loss,2025
26,0.2631680838672054,0.2416054187051964,0.8888355006218644,0.8735632183908046,resnet50,focal_loss,2025
27,0.2600804239459113,0.3064574096198935,0.8471399429486662,0.8275862068965517,resnet50,focal_loss,2025
28,0.2563439559643214,0.2830120637303307,0.860311652383319,0.8390804597701149,resnet50,focal_loss,2025
29,0.2661465395733007,0.2607534425501361,0.8687771261284125,0.8489326765188834,resnet50,focal_loss,2025
30,0.2569424251156658,0.2753183663576499,0.8601578287450325,0.8423645320197044,resnet50,focal_loss,2025
31,0.2586261877380901,0.2799999855324161,0.8710688962338464,0.8505747126436781,resnet50,focal_loss,2025
32,0.2817767666178135,0.293115072453942,0.8569795159576891,0.8374384236453202,resnet50,focal_loss,2025
33,0.2501550431620257,0.2201734964287731,0.8954708862232554,0.8784893267651889,resnet50,focal_loss,2025
34,0.2598741704391109,0.2416239133707212,0.8857740713484508,0.8686371100164204,resnet50,focal_loss,2025
1,1.3250699712019185,1.0646736921348008,0.3094913209136222,0.5057471264367817,resnet50,focal_loss,27182
2,1.027634408101047,0.9014259148113832,0.4107350425833379,0.5599343185550082,resnet50,focal_loss,27182
3,0.7518202326943041,0.4997264608765275,0.8039217098408443,0.7898193760262726,resnet50,focal_loss,27182
4,0.5109497199787616,0.4348292603281331,0.7772484362244452,0.7668308702791461,resnet50,focal_loss,27182
5,0.4647898424698305,0.3559637762642846,0.8271321692698393,0.8144499178981938,resnet50,focal_loss,27182
6,0.4267448452947848,0.4256479244905544,0.7794414231251305,0.7701149425287356,resnet50,focal_loss,27182
7,0.4229843257914947,0.3550833436264389,0.8563377950194242,0.8456486042692939,resnet50,focal_loss,27182
8,0.3892641096521555,0.3685870301743055,0.7928852716094161,0.7914614121510674,resnet50,focal_loss,27182
9,0.3956218717177848,0.4607989582522162,0.7824791593339906,0.7717569786535303,resnet50,focal_loss,27182
10,0.3630227026076225,0.3783056095903143,0.8255090734091369,0.8095238095238095,resnet50,focal_loss,27182
11,0.3719327199228618,0.3561814990145428,0.8315220729624481,0.812807881773399,resnet50,focal_loss,27182
12,0.3491191264300857,0.3477511010537985,0.8188076419265738,0.8029556650246306,resnet50,focal_loss,27182
13,0.3324163731665519,0.3387540285223223,0.8381077944946487,0.8243021346469622,resnet50,focal_loss,27182
14,0.3090616350747998,0.4360039633483135,0.8132086852822882,0.7963875205254516,resnet50,focal_loss,27182
15,0.3297370392534561,0.2340459335222228,0.8965952753389578,0.8866995073891626,resnet50,focal_loss,27182
16,0.2982330587710563,0.3529154680828351,0.8355550477288077,0.8210180623973727,resnet50,focal_loss,27182
17,0.3008627973719515,0.296329896438298,0.864677477334381,0.8472906403940886,resnet50,focal_loss,27182
18,0.2848103732394418,0.2600514494335318,0.8865265351118794,0.8719211822660099,resnet50,focal_loss,27182
19,0.2801648230224795,0.2684847408131817,0.8799444850013809,0.8637110016420362,resnet50,focal_loss,27182
20,0.2840594054106459,0.348063422051948,0.8552626385280779,0.8325123152709359,resnet50,focal_loss,27182
21,0.2648193559034847,0.3742725503659992,0.8467017243598132,0.8292282430213465,resnet50,focal_loss,27182
22,0.2790138813963255,0.3142614620072501,0.8613979647102394,0.8423645320197044,resnet50,focal_loss,27182
23,0.2637257271156579,0.2872588167636852,0.868771136955537,0.8505747126436781,resnet50,focal_loss,27182
1,1.1815157093775503,1.043655827127654,0.3116466592347562,0.4991789819376026,resnet50,focal_loss,31415
2,0.986617072835329,0.8125419235973327,0.468132117941372,0.6059113300492611,resnet50,focal_loss,31415
3,0.6829258592141324,0.4484985688049805,0.7986277806317035,0.7848932676518884,resnet50,focal_loss,31415
4,0.4931585012818891,0.4320375938916637,0.7573222362196774,0.7504105090311987,resnet50,focal_loss,31415
5,0.4468236710673267,0.3976764258101264,0.7860742606405324,0.7701149425287356,resnet50,focal_loss,31415
6,0.4291553471021367,0.3568199933651829,0.8127454995822766,0.7980295566502463,resnet50,focal_loss,31415
7,0.3980217362015863,0.3172716313395007,0.845110171729363,0.8325123152709359,resnet50,focal_loss,31415
8,0.364801592189943,0.3738725458459901,0.8026050293816567,0.7914614121510674,resnet50,focal_loss,31415
9,0.3495690569203013,0.3222940670837126,0.8175524893353898,0.8045977011494253,resnet50,focal_loss,31415
10,0.3563493917822209,0.3727678355129286,0.7999319969210034,0.7881773399014779,resnet50,focal_loss,31415
11,0.3312555106536785,0.3457233688514221,0.8125733449323911,0.7996715927750411,resnet50,focal_loss,31415
12,0.3390403421670984,0.2887090517969554,0.8426671229708836,0.8243021346469622,resnet50,focal_loss,31415
13,0.3158476486147393,0.2623031343928307,0.8644879473503182,0.8522167487684729,resnet50,focal_loss,31415
14,0.3231772813729955,0.2153393095741522,0.8782195809874552,0.8686371100164204,resnet50,focal_loss,31415
15,0.2938698191477251,0.3087545523698302,0.8352467916787285,0.8243021346469622,resnet50,focal_loss,31415
16,0.2876975381102,0.3024070061290597,0.8419835358564777,0.8308702791461412,resnet50,focal_loss,31415
17,0.2963632327810532,0.2325675642157618,0.8827452893720571,0.8719211822660099,resnet50,focal_loss,31415
18,0.2914890022499909,0.317829144754629,0.8439862017526606,0.8325123152709359,resnet50,focal_loss,31415
19,0.2807766746605217,0.3238922283175739,0.8338134193117281,0.819376026272578,resnet50,focal_loss,31415
20,0.2898752655421493,0.2392387154018154,0.8777266855678415,0.8653530377668309,resnet50,focal_loss,31415
21,0.2649009655408155,0.2526506035785957,0.858341583216343,0.8423645320197044,resnet50,focal_loss,31415
22,0.2696875656950034,0.3091453323614813,0.836524623667984,0.8226600985221675,resnet50,focal_loss,31415
23,0.2529794552780832,0.2703772109913317,0.8700939778196964,0.8571428571428571,resnet50,focal_loss,31415
24,0.2566803119513607,0.2333719783473289,0.8778867264625385,0.8637110016420362,resnet50,focal_loss,31415
25,0.2639947370192288,0.276306520492964,0.8460680619117478,0.8341543513957307,resnet50,focal_loss,31415
1,1.2675106155851394,1.08428543541819,0.2895796174807493,0.4039408866995074,resnet50,focal_loss,42
2,1.0254270626706692,0.9238068781462796,0.4860565665311975,0.6108374384236454,resnet50,focal_loss,42
3,0.8151462310437368,0.5899626082191718,0.6747429016875328,0.7372742200328407,resnet50,focal_loss,42
4,0.5834621558708969,0.4576602538035225,0.7730233787959283,0.7635467980295566,resnet50,focal_loss,42
5,0.4684997264446399,0.3945494788425113,0.7812226199993961,0.7733990147783252,resnet50,focal_loss,42
6,0.4326746852253359,0.4077095856220264,0.7973667550795717,0.7865353037766831,resnet50,focal_loss,42
7,0.3937050917027076,0.4132849250129486,0.7512858345408142,0.7586206896551724,resnet50,focal_loss,42
8,0.3876148343190996,0.314533278076911,0.8425561448973166,0.8325123152709359,resnet50,focal_loss,42
9,0.3632531065932476,0.4125178284050013,0.7769643291913018,0.7684729064039408,resnet50,focal_loss,42
10,0.3644972993011843,0.3674344874563671,0.7816009037590878,0.7783251231527094,resnet50,focal_loss,42
11,0.3485005727656486,0.2724974724557403,0.8465170763531477,0.8357963875205254,resnet50,focal_loss,42
12,0.3459091234814722,0.3528755469666717,0.7980090873633203,0.7832512315270936,resnet50,focal_loss,42
